firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
Department-for-Work-And-Pensions,4.0,0.0,0.0,0.0,2.6666666666666665,2.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
Deutsche-Bank,3.0,2.3333333333333335,0.0,0.0,3.0,1.0,0.0,2.5,2.5,1.0,0.0,0.0,0.0,5.0,3.0,4.5,0.0,1.0
Dixons-Carphone,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.75,3.6,0.0,0.0,1.0,4.333333333333333,1.0,4.0,0.0,2.0
Doubletree-By-Hilton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EY,0.0,3.6,0.0,4.5,3.5,3.5,0.0,0.0,2.0,3.4444444444444446,0.0,0.0,1.2,3.5,0.0,5.0,2.6666666666666665,1.7272727272727273
Engineering-and-Physical-Sciences-Research-Council,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
Equiniti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Eversheds-Sutherland,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,3.6666666666666665,4.0,2.0,0.0,1.0,4.5,3.0,2.0,0.0,1.0
Everyone-Active,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
Facebook,5.0,1.5,0.0,0.0,1.0,1.0,0.0,1.0,5.0,3.6666666666666665,2.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0
FirstPort,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
Foxtons,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,2.5,0.0,1.0
