0,1,2,3,4,5,6,7,8,9,10,11,12
3.48,2.7627118,2.5221238,1.8888888,1.6697248,2.877193,2.1145039,3.0933332,3.4692307,1.6486486,3.2711864,2.5769231,2.3333333
2.9850187,2.6193771,2.7378497,2.5,1.8955512,2.892857,2.0329897,3.4425428,3.3548386,1.7298851,3.6378736,2.8421052,2.7208872
3.258517,3.5835776,3.081511,2.6193182,2.221968,3.2528737,1.9831933,3.7237353,3.3045268,1.7896104,3.4311926,3.389728,2.5614552
2.5531914,2.8255033,2.4397163,2.8085105,1.85,2.7735848,2.6956522,3.3833334,3.443299,2.075,3.147541,3.140625,3.6222222
3.2727273,2.7368422,2.7,3.75,2.0769231,2.6,2.4545455,3.090909,2.7777777,2.3333333,3.5714285,3.375,3.7692308
2.9416342,3.083612,2.6482759,2.6119404,2.0344827,2.9777777,2.6231344,3.4748201,3.801205,2.2,3.0719423,2.8253968,3.3703704
3.626506,3.4868422,3.0,3.1034484,2.409091,3.4615386,2.392857,3.7326732,4.112903,2.6923077,3.2962964,3.047619,3.6981132
2.1666667,2.125,2.319149,2.357143,2.0869565,3.0,1.7407408,2.9565217,2.52,1.5,2.5925925,2.5185184,3.0
3.1840491,2.869469,2.6311786,2.6126127,1.9983766,2.8032787,2.6558516,3.2480469,3.2582939,1.737931,3.3074205,3.1380754,2.6058395
3.9285715,3.4375,4.2727275,4.0,3.6111112,3.6666667,3.5714285,3.6666667,4.0,2.5,3.9411764,4.0,3.8
3.283582,2.0222223,2.2641509,2.6363637,1.5116279,3.125,2.3142858,3.1549296,3.372549,3.3,3.090909,2.5263157,3.881356
2.767857,2.7462687,2.5084746,2.6190476,1.9620253,3.0,2.4534883,3.137255,3.0263157,1.9166666,2.9714286,2.6363637,3.0727272
3.4318182,3.5187266,3.106383,2.7132354,2.0529802,3.2659574,1.9468665,3.6416106,3.1666667,1.7493334,3.2211764,3.3753846,2.7480383
3.2857144,3.4444444,2.857143,3.25,2.75,2.6,2.7333333,3.6363637,4.0,2.25,3.6,3.3,3.25
3.0,2.5384614,3.1818182,3.3333333,3.142857,3.4,2.142857,3.7692308,3.75,2.0,3.5555556,2.75,3.25
2.8163266,2.884058,2.6478872,2.6111112,2.4923077,2.911111,2.0,3.3529413,3.0789473,2.4545455,3.3421052,2.9333334,3.4042554
3.1142857,2.59375,3.125,3.0,2.451613,3.2727273,2.511628,3.3548386,3.5714285,2.0,3.7916667,3.1304348,2.9655173
3.0,2.9,2.58,2.8888888,2.18,3.4210527,2.3076923,3.357143,3.7142856,1.6666666,3.590909,3.1111112,2.7666667
3.6666667,2.9722223,2.2857144,2.7777777,2.42,3.4473684,2.3947368,3.452381,3.93617,2.826087,3.1052632,2.590909,3.65
2.85,2.95,2.1875,2.8,2.1851852,2.6923077,2.1764705,2.875,2.4166667,2.0,3.3157895,3.7142856,2.8333333
3.6746988,3.5666666,3.3846154,2.8157895,2.770115,3.6575344,3.653226,3.7103825,4.185185,2.1527777,3.2560976,3.764045,2.8076923
3.578125,3.9222221,3.4457831,3.4,3.3150685,3.2571428,2.3,3.8615384,3.4782608,3.0833333,4.0869565,4.0547943,3.6818182
2.3333333,3.2962964,2.85,2.6666667,1.6666666,3.3636363,1.5769231,3.1875,3.142857,3.0,2.4444444,2.7,2.875
3.064516,3.125,2.4661016,2.4545455,2.2372882,2.3,1.9076923,3.4722223,3.0555556,1.9230769,3.9736843,3.3939395,2.5227273
3.449438,3.6949153,3.6830986,3.0625,2.9038463,3.142857,2.9575758,3.3203125,3.2452831,1.8072289,3.8431373,3.9756098,2.0903614
2.9,2.9333334,2.4375,2.3913043,2.0277777,3.5945945,3.08,3.6136363,3.7045455,2.1666667,3.175,2.9629629,2.4081633
2.8,2.9113925,2.5809524,2.3636363,1.7727273,2.5128205,2.699187,3.4035087,2.5833333,1.92,3.4761906,2.0,3.0693069
3.1176472,3.235294,3.1,3.1,2.5714285,2.3,3.5333333,3.173913,4.0,2.25,3.631579,3.0,2.6296296
4.347826,4.1904764,4.0,3.75,3.7,3.5454545,2.4545455,4.4444447,4.0,3.5,4.1764708,4.0526314,3.7777777
2.625,2.5,2.5454545,2.3333333,2.4285715,1.8,2.5833333,2.1666667,2.0,2.0,3.5,3.8,2.5
3.521212,3.3575,2.9352942,2.7058823,2.0676692,3.0769231,2.9390244,3.6466432,3.8755555,2.0704226,3.503876,3.5755396,3.6268115
3.1935484,3.7471697,3.2361112,2.7755103,2.0784314,3.0444446,3.3669724,3.7730262,3.7303371,1.9593023,3.44,3.08,2.2560554
3.8106508,3.576687,2.9672132,2.4482758,2.1009173,3.6744187,3.5945945,3.8285713,4.176744,2.0933332,3.3157895,3.2771084,3.0625
3.3658535,3.5333333,2.9642856,3.5714285,2.71875,3.0625,2.4186046,3.7777777,3.1666667,2.357143,3.5714285,3.090909,3.18
3.5308642,3.396648,3.0,3.1509433,2.5203252,3.3058825,2.4015749,3.6551723,3.3454545,2.235294,3.5673077,3.5904763,3.2021859
3.1509433,3.1296296,2.7837837,3.0,2.3653846,2.8214285,2.3069308,2.72,2.5652175,1.875,3.661017,3.1538463,2.2903225
3.4594595,3.1052632,2.9230769,2.8333333,2.0,3.48,2.24,3.3773584,3.857143,2.75,3.0833333,3.5789473,3.5357144
3.0434783,3.1785715,2.890625,2.6363637,1.9545455,2.9,2.074074,3.2258065,3.0526316,2.2307692,3.7407408,3.5,2.7826087
3.0943396,3.1150444,2.794931,2.2222223,2.0978594,2.5108695,2.4752748,3.2995594,3.63125,1.9841269,3.4473684,2.6956522,2.5570176
3.0983605,3.78,2.6747968,3.7777777,2.3258426,2.2058823,2.2413793,3.3157895,2.1923077,1.5517242,3.7333333,3.3559322,2.2368422
1.6666666,2.2857144,2.6666667,3.5,2.5,1.6666666,1.9230769,3.5,4.0,2.0,3.6,2.5,3.6
2.2,3.125,2.1388888,2.25,1.3829787,2.1111112,2.6307693,3.2121212,3.3,1.6818181,3.0,1.9705882,2.5208333
3.5,2.7714286,2.7,3.3333333,2.8888888,3.090909,1.7058823,3.55,3.090909,3.0769231,3.2142856,3.0,3.2592592
2.4,2.4,2.0,3.25,1.8076923,2.6363637,1.6956521,3.2380953,3.0,2.6666667,3.0,3.142857,3.2222223
3.336842,3.1865358,2.866097,2.7027028,1.8692054,3.248889,2.2601352,3.5220265,3.8034825,1.9477612,3.2817461,3.1204188,3.2849162
3.3809524,3.0370371,3.1666667,3.090909,2.88,3.2307692,2.4285715,3.6875,3.607143,2.1666667,4.047619,3.7777777,3.631579
1.8,3.2727273,2.8125,2.2,2.2727273,3.5,2.7857144,3.5,3.2,2.1,3.2,2.9230769,2.7058823
3.1791046,2.6818182,2.902439,1.9166666,2.0149255,2.5,2.0847456,2.9423077,3.552941,2.0,2.9574468,2.3157895,2.6976745
3.4893618,3.1238937,3.0,2.590909,2.5113637,3.0337079,3.3018868,3.5728154,3.5851064,1.85,3.4084506,3.3863637,3.2164948
3.6821706,3.95702,3.7997513,3.2064517,3.1971831,3.4927008,3.1098726,3.7925532,3.4438775,2.2627738,4.020408,3.9464285,2.4564798
2.7142856,2.75,3.0526316,2.8,1.8461539,3.5384614,2.5,3.7857144,3.090909,1.75,3.7692308,3.7692308,3.4230769
2.8453608,2.8167539,2.5310345,2.5849056,2.0576923,2.8314607,2.3696682,3.3583333,3.5555556,2.4285715,3.517857,3.4307692,3.7729259
4.0697675,3.489796,3.74,3.8333333,2.9142857,3.3225806,3.6666667,3.8235295,3.942857,3.4,3.6944444,3.9189188,3.5625
